"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000026399.13",-6.45565219722631,7.17282660716887,1594.92423594318,2.79509233480095e-08,0.000239732014208384
"ENSMUSG00000038530.12",7.76575325146566,5.62728993002994,1235.3123783467,5.83208412453197e-08,0.000239732014208384
"ENSMUSG00000020467.16",6.0670628554115,8.0095266162454,1164.3586225873,6.91405496500481e-08,0.000239732014208384
"ENSMUSG00000069601.15",6.38397287669048,5.56828894520708,1037.38300717851,9.63718205121443e-08,0.000239732014208384
"ENSMUSG00000038679.17",4.99368604593813,5.11449979895111,991.446093044238,1.09773300714635e-07,0.000239732014208384
"ENSMUSG00000026249.11",8.4972111014156,8.00296949833975,990.778829619227,1.09985940165105e-07,0.000239732014208384
"ENSMUSG00000073125.11",-4.83337370655739,5.0000228828399,929.788653141632,1.32019112644451e-07,0.000239732014208384
"ENSMUSG00000022371.17",-5.14848611117861,9.43476994136732,907.906508479653,1.41369458450178e-07,0.000239732014208384
"ENSMUSG00000033788.16",4.59886044314685,5.84220517038889,895.907271086458,1.46877739989318e-07,0.000239732014208384
"ENSMUSG00000001435.16",4.26288457757338,6.07323508602414,873.96332851327,1.57722792057665e-07,0.000239732014208384
"ENSMUSG00000036437.7",-7.25359467461471,6.56169780508946,847.350350427192,1.72372954362447e-07,0.000239732014208384
"ENSMUSG00000048779.6",5.90545583331666,3.99320134622046,839.320459743083,1.77151564039533e-07,0.000239732014208384
"ENSMUSG00000026405.15",6.00212132020725,5.01805617314792,821.604839792118,1.88343275802804e-07,0.000239732014208384
"ENSMUSG00000026678.11",7.02933338154856,8.94481855095412,778.979120128978,2.19470553253143e-07,0.000245882663888944
"ENSMUSG00000020176.18",5.35948023756667,6.33964889982588,774.788993008705,2.22894782035062e-07,0.000245882663888944
"ENSMUSG00000016494.10",5.23879863133397,7.06466441297642,735.875353520579,2.5841993768104e-07,0.000245985459402951
"ENSMUSG00000027996.14",5.70384008581614,10.7564837545434,732.98027698911,2.61359501511143e-07,0.000245985459402951
"ENSMUSG00000006221.8",9.46473845775281,5.79469769215577,717.576814307445,2.77781161618408e-07,0.000245985459402951
"ENSMUSG00000031965.16",14.2150711720577,4.92568237440365,1685.24346781932,2.82751923069957e-07,0.000245985459402951
"ENSMUSG00000042759.13",5.66470391294842,3.6547992979228,700.775406764916,2.97317289421588e-07,0.000245985459402951
"ENSMUSG00000007888.16",3.79247698217064,5.47333311006941,683.900364828605,3.18847356505722e-07,0.000251236533719056
"ENSMUSG00000000690.6",-4.29457222615052,5.31344990510609,646.248902729256,3.75058557650755e-07,0.000271241581150862
"ENSMUSG00000086825.2",-9.21603566125953,4.14165682712646,645.073863092213,3.77020388376735e-07,0.000271241581150862
"ENSMUSG00000038539.16",3.36589087668264,7.70771721007084,617.002408748807,4.28298656095142e-07,0.000289473897157295
"ENSMUSG00000047787.9",-3.45903126368738,5.02770945282332,612.515407309075,4.37351026103365e-07,0.000289473897157295
"ENSMUSG00000044461.7",-7.07833770093189,2.9825816965289,598.813960698565,4.66639312330724e-07,0.000290210770835631
"ENSMUSG00000029752.13",4.32022617631006,6.28043785941707,595.752832184365,4.7354147655539e-07,0.000290210770835631
"ENSMUSG00000020679.12",7.93878701045952,3.19165692245975,585.90405007317,4.96703144324473e-07,0.000293533818897752
"ENSMUSG00000075334.3",6.65436641860367,2.88264135130042,570.430023820854,5.36277602544882e-07,0.000305992603079661
"ENSMUSG00000023367.15",-3.85491198328951,5.48264933062794,552.941505421389,5.86288966319331e-07,0.000323377450856199
"ENSMUSG00000027546.16",10.1710828642327,3.9504578174582,540.755260422277,6.24910973095524e-07,0.000324559799216439
"ENSMUSG00000040612.14",-3.15977874939955,6.00446069622034,537.854483924872,6.34606398571163e-07,0.000324559799216439
"ENSMUSG00000024810.17",-5.43063356365854,4.89204770568959,527.450819736535,6.71092375559609e-07,0.000324559799216439
"ENSMUSG00000040605.8",-2.9833613810561,5.79303451033505,521.099714372441,6.94764226513746e-07,0.000324559799216439
"ENSMUSG00000043300.3",6.65528301755807,3.68059681376341,509.159526459559,7.42403404741218e-07,0.000324559799216439
"ENSMUSG00000040260.9",3.56313385889533,5.34097542018685,507.447133804516,7.49592779052943e-07,0.000324559799216439
"ENSMUSG00000025140.16",3.82474496467005,4.71242746127109,506.813198433981,7.52278085365846e-07,0.000324559799216439
"ENSMUSG00000021944.16",-5.63768245464028,3.11611348516585,503.816246402705,7.65149833905396e-07,0.000324559799216439
"ENSMUSG00000029581.15",7.81771248762868,8.83976829378703,501.550052328548,7.75080573519015e-07,0.000324559799216439
"ENSMUSG00000038700.5",-4.05117361753355,3.87743567268565,498.702220939705,7.87807708907868e-07,0.000324559799216439
"ENSMUSG00000027335.10",4.2523642555384,5.12159777282467,495.126118204838,8.04191198880402e-07,0.000324559799216439
"ENSMUSG00000100510.9",13.5082509466758,4.21870280695869,1075.10242194143,8.24814844566783e-07,0.000324957410310632
"ENSMUSG00000027508.16",-3.36909463297309,4.42093599163148,486.584922767448,8.45222046601042e-07,0.00032525323732808
"ENSMUSG00000051910.14",7.30338990214639,4.73104454628861,481.687933148188,8.70024531320446e-07,0.000326079972789911
"ENSMUSG00000066362.6",-3.52541894909583,4.302198096089,478.484280764666,8.86783028678672e-07,0.000326079972789911
"ENSMUSG00000020911.15",-2.80689523345663,5.44114434001168,468.433521920193,9.42265763725636e-07,0.000338949382442785
"ENSMUSG00000040147.15",6.30418001371358,3.63607522645693,462.151279234521,9.79338841098516e-07,0.000344789783056535
"ENSMUSG00000027238.18",-4.327909147333,3.8002261893935,452.488367038523,1.04029491144825e-06,0.000358619997911129
"ENSMUSG00000005667.9",3.69496199254896,5.59544986846951,447.098025927911,1.07653128629421e-06,0.000363538024373679
