"","ENSEMBL","ENTREZID"
"1","ENSMUSG00000026399","13136"
"2","ENSMUSG00000038530","19736"
"3","ENSMUSG00000020467","216616"
"4","ENSMUSG00000069601","11735"
"5","ENSMUSG00000038679","83925"
"6","ENSMUSG00000026249","20720"
"7","ENSMUSG00000073125","574437"
"8","ENSMUSG00000022371","12818"
"9","ENSMUSG00000033788","26903"
"10","ENSMUSG00000001435","12822"
"11","ENSMUSG00000036437","18166"
"12","ENSMUSG00000048779","233571"
"13","ENSMUSG00000026405","12269"
"14","ENSMUSG00000026678","19737"
"15","ENSMUSG00000020176","14783"
"16","ENSMUSG00000016494","12490"
"17","ENSMUSG00000027996","20319"
"18","ENSMUSG00000006221","29818"
"19","ENSMUSG00000031965","57246"
"20","ENSMUSG00000042759","171504"
"21","ENSMUSG00000007888","12931"
"22","ENSMUSG00000000690","15414"
"24","ENSMUSG00000038539","107503"
"25","ENSMUSG00000047787","396184"
"26","ENSMUSG00000044461","219134"
"27","ENSMUSG00000029752","27053"
"28","ENSMUSG00000020679","21410"
"29","ENSMUSG00000075334","67874"
"30","ENSMUSG00000023367","66058"
"31","ENSMUSG00000027546","11981"
"32","ENSMUSG00000040612","100039795"
"33","ENSMUSG00000024810","77125"
"34","ENSMUSG00000040605","56175"
"35","ENSMUSG00000043300","26879"
"36","ENSMUSG00000040260","76441"
"37","ENSMUSG00000025140","209027"
"38","ENSMUSG00000021944","14463"
"39","ENSMUSG00000029581","14086"
"40","ENSMUSG00000038700","15413"
"41","ENSMUSG00000027335","11550"
"42","ENSMUSG00000100510","102636514"
"43","ENSMUSG00000027508","94212"
"44","ENSMUSG00000051910","20679"
"45","ENSMUSG00000066362","625298"
"46","ENSMUSG00000020911","16669"
"47","ENSMUSG00000040147","109731"
"48","ENSMUSG00000027238","228564"
"49","ENSMUSG00000005667","17768"
"50","ENSMUSG00000019899","16773"
"51","ENSMUSG00000069516","17105"
"52","ENSMUSG00000001946","69524"
"53","ENSMUSG00000027555","71934"
"54","ENSMUSG00000045180","110380"
"55","ENSMUSG00000038508","23886"
"56","ENSMUSG00000041757","240753"
"57","ENSMUSG00000050379","56526"
"58","ENSMUSG00000049556","235402"
"59","ENSMUSG00000054863","106014"
"60","ENSMUSG00000048120","12495"
"61","ENSMUSG00000030607","11595"
"62","ENSMUSG00000029061","26561"
"63","ENSMUSG00000026360","19735"
"64","ENSMUSG00000025504","98845"
"65","ENSMUSG00000020154","19263"
"66","ENSMUSG00000027913","74175"
"67","ENSMUSG00000033715","105387"
"68","ENSMUSG00000017756","20499"
"69","ENSMUSG00000060961","54403"
"70","ENSMUSG00000032289","207596"
"72","ENSMUSG00000026051","78896"
"73","ENSMUSG00000029375","20309"
"74","ENSMUSG00000057098","13591"
"75","ENSMUSG00000028370","18491"
"76","ENSMUSG00000056648","15416"
"77","ENSMUSG00000069806","81904"
"78","ENSMUSG00000004151","14009"
"79","ENSMUSG00000067818","98932"
"80","ENSMUSG00000020000","59012"
"81","ENSMUSG00000034981","231440"
"82","ENSMUSG00000030587","72275"
"83","ENSMUSG00000048826","240025"
"84","ENSMUSG00000063011","56047"
"85","ENSMUSG00000022602","11838"
"86","ENSMUSG00000024713","18552"
"87","ENSMUSG00000031740","17390"
"88","ENSMUSG00000027832","19288"
"89","ENSMUSG00000025855","19085"
"90","ENSMUSG00000029810","65963"
"91","ENSMUSG00000022610","29857"
"92","ENSMUSG00000038721","15415"
"93","ENSMUSG00000049690","210356"
"94","ENSMUSG00000037411","18787"
"95","ENSMUSG00000042821","20613"
"96","ENSMUSG00000087691","102640368"
"97","ENSMUSG00000039419","66797"
"98","ENSMUSG00000041571","20364"
"99","ENSMUSG00000020098","13180"
"100","ENSMUSG00000064373","20363"
"101","ENSMUSG00000038178","215113"
"102","ENSMUSG00000002985","11816"
"103","ENSMUSG00000039323","16008"
"104","ENSMUSG00000032011","21838"
"105","ENSMUSG00000035722","27403"
"106","ENSMUSG00000031387","19703"
"107","ENSMUSG00000039114","68404"
"108","ENSMUSG00000028073","73182"
"109","ENSMUSG00000038193","15111"
"110","ENSMUSG00000036553","231147"
"111","ENSMUSG00000025105","12173"
"112","ENSMUSG00000078234","242721"
"113","ENSMUSG00000054889","109620"
"114","ENSMUSG00000026748","67448"
"115","ENSMUSG00000030064","232288"
"116","ENSMUSG00000036377","320827"
"117","ENSMUSG00000024663","74760"
"118","ENSMUSG00000063450","319565"
"119","ENSMUSG00000033327","81877"
"120","ENSMUSG00000028194","69219"
"121","ENSMUSG00000053897","67547"
"122","ENSMUSG00000053199","244867"
"123","ENSMUSG00000034235","78787"
"124","ENSMUSG00000033295","19268"
"125","ENSMUSG00000028597","67305"
"126","ENSMUSG00000034591","338365"
"127","ENSMUSG00000073411","14964"
"128","ENSMUSG00000020263","216190"
"129","ENSMUSG00000028518","108079"
"130","ENSMUSG00000062380","22152"
"131","ENSMUSG00000020950","15228"
"132","ENSMUSG00000063727","18383"
"133","ENSMUSG00000039457","19041"
"134","ENSMUSG00000042751","226518"
"135","ENSMUSG00000038521","50908"
"136","ENSMUSG00000023905","27279"
"137","ENSMUSG00000020376","59044"
"138","ENSMUSG00000061232","14972"
"139","ENSMUSG00000021281","21928"
"140","ENSMUSG00000024548","240427"
"141","ENSMUSG00000001349","12797"
"142","ENSMUSG00000028179","107869"
"143","ENSMUSG00000031661","93960"
"144","ENSMUSG00000030774","18479"
"145","ENSMUSG00000032625","330267"
"146","ENSMUSG00000036661","105841"
"147","ENSMUSG00000024180","60455"
"148","ENSMUSG00000023972","71461"
"149","ENSMUSG00000022562","75475"
"150","ENSMUSG00000032554","22041"
"151","ENSMUSG00000043252","100201"
"152","ENSMUSG00000001741","16170"
"153","ENSMUSG00000079685","77777"
"154","ENSMUSG00000041936","11603"
"155","ENSMUSG00000031133","73341"
"156","ENSMUSG00000043099","15248"
"157","ENSMUSG00000032036","67703"
"158","ENSMUSG00000052572","23859"
"159","ENSMUSG00000056947","17116"
"160","ENSMUSG00000028600","242608"
